C,Q,A
"В компании ""Бета"" проводится конкурс на замещение должности главного бухгалтера. В результате конкурса, Мария, сотрудница компании, была выбрана на эту должность. Однако, после некоторого времени, руководство компании решило отменить результаты конкурса и назначить другого кандидата на должность главного бухгалтера. Мария обратилась к адвокату, чтобы узнать, имеет ли она право на сохранение должности, которую она получила в результате конкурса.","Имеет ли Мария право на сохранение должности главного бухгалтера, которую она получила в результате конкурса, если руководство компании решило отменить результаты конкурса и назначить другого кандидата на эту должность?","Мария имеет право на сохранение должности, которую она получила в результате конкурса, если трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, или уставом (положением) компании не предусмотрены основания для отмены результатов конкурса и назначения другого кандидата на должность.
""Трудовые отношения на основании трудового договора в результате избрания по конкурсу на замещение соответствующей должности возникают, если трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, или уставом (положением) организации определены перечень должностей, подлежащих замещению по конкурсу, и порядок конкурсного избрания на эти должности."" (Трудовой Кодекс РФ)"
"Анна Петрова работает в небольшой фирме и недавно ей было предложено утвердиться на должности главного бухгалтера. Она согласилась, но после некоторого времени начала испытывать проблемы с начальством, которые мешают ей выполнять свои обязанности. Анна решила обратиться к адвокату, чтобы узнать, какие права она имеет в данной ситуации.",Какие нормативные акты могут определять возникновение трудовых отношений на основании назначения на должность или утверждения в должности?,"Трудовые отношения могут возникать на основании трудового договора в результате назначения на должность или утверждения в должности в случаях, предусмотренных трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, или уставом (положением) организации. ""Трудовые отношения возникают на основании трудового договора в результате назначения на должность или утверждения в должности в случаях, предусмотренных трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, или уставом (положением) организации"" (Трудовой Кодекс РФ)."
"Елена, 15-летняя девочка, хочет найти работу в качестве няни для помощи по ведению домашнего хозяйства у семьи с маленькими детьми. Она обратилась к адвокату, чтобы узнать, может ли она заключить трудовой договор в своем возрасте.",Может ли Елена заключить трудовой договор в возрасте 15 лет для работы няней?,"Нет, Елена не может заключить трудовой договор в возрасте 15 лет для работы няней. Согласно Трудовому Кодексу РФ, лица, не достигшие возраста шестнадцати лет, имеют право вступать в трудовые отношения только в случаях и порядке, которые установлены законом. ""[...] лица, достигшие возраста шестнадцати лет, а в случаях и порядке, которые установлены настоящим Кодексом, - также лица, не достигшие указанного возраста"" (Статья 20, Трудовой Кодекс РФ)."
"Анна работает в магазине одежды. Ей не предоставляют нерабочие праздничные дни и она хочет узнать, какие права у нее в отношении отдыха.",Какие права имеет работник в отношении отдыха?,"Работник имеет право на ""отдых, обеспечиваемый установлением нормальной продолжительности рабочего времени, сокращенного рабочего времени для отдельных профессий и категорий работников, предоставлением еженедельных выходных дней, нерабочих праздничных дней, оплачиваемых ежегодных отпусков"" (Статья 21 Трудового Кодекса РФ)."
"Анна работает в маленькой фирме и недавно узнала, что ее коллега получает большую заработную плату за выполнение тех же обязанностей. Она обратилась к адвокату, чтобы узнать, есть ли у нее право на равную оплату труда.",Может ли работник требовать равной оплаты труда за выполнение одинаковых обязанностей?,"Да, работник имеет право на равную оплату труда за выполнение одинаковых обязанностей. ""Работодатель обязан обеспечивать работникам равную оплату за труд равной ценности"" (Статья 22, Трудовой Кодекс РФ). Если работник считает, что его оплата не соответствует стандартам равной оплаты труда, он может обратиться в суд с требованием о ее установлении."
"Работодатель Иванова Ольга решила внедрить информационную систему для электронного документооборота в своей компании. Она обратилась к юристу с вопросом о том, кто несет расходы на создание и эксплуатацию информационной системы работодателя.",Кто несет расходы на создание и эксплуатацию информационной системы работодателя?,"В соответствии с Трудовым кодексом РФ, работодатель несет расходы на создание и (или) эксплуатацию информационной системы работодателя, а также на создание, использование и хранение электронных документов. ""[place quote here]"" (Трудовой Кодекс РФ, Статья 22.1)"
"Работник Виктория принята на работу в компанию, которая использует электронный документооборот. Однако Виктория не имеет электронной подписи. Она обратилась к адвокату, чтобы узнать, кто должен нести расходы на получение электронной подписи.",Кто должен нести расходы на получение электронной подписи работником?,"Работодатель должен нести расходы на получение электронной подписи работником. Согласно статье 22.2 Трудового Кодекса РФ, работодатель несет расходы на получение работником электронной подписи (в случае ее отсутствия) и ее использование.
Пример цитаты из документа: ""Работодатель несет расходы на получение работником электронной подписи (в случае ее отсутствия) и ее использование"" (Трудовой Кодекс РФ)."
"В компании ""Бета"" работник Сидорова Анна Петровна обратилась к адвокату с жалобой на работодателя. Сидорова утверждает, что работодатель не выплачивает ей заработную плату в полном объеме и не предоставляет оплачиваемый отпуск.","Какие меры могут быть предприняты в отношении работодателя, нарушающего права работника на заработную плату и оплачиваемый отпуск?","В случае нарушения работодателем прав работника на заработную плату и оплачиваемый отпуск, работник может обратиться в органы государственной власти или органы местного самоуправления. Также, работник может обратиться в суд для защиты своих прав. ""[place quote here]"" (Трудовой Кодекс РФ)"
"Анна работает в небольшой компании, где отсутствует профсоюз. Она обратилась к адвокату, так как работодатель не учитывает ее интересы и нарушает трудовое законодательство. Анна хочет получить помощь адвоката для защиты своих прав и установления равноправия.",Какие принципы социального партнерства нарушает работодатель в данном случае?,"Работодатель нарушает принципы социального партнерства, включая отсутствие учета интересов сторон и невыполнение трудового законодательства. ""Уважение и учет интересов сторон"" и ""соблюдение сторонами и их представителями трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права"" (Статья 24 Трудового Кодекса РФ)."
"Мария работает в маленькой компании в Санкт-Петербурге. Она обратилась к адвокату, так как ее работодатель уволил ее без уважительных причин и не выплатил ей компенсацию за неиспользованный отпуск. Мария хочет узнать, какие права она имеет и какие меры защиты доступны ей в данной ситуации.",Какие уровни социального партнерства могут регулировать отношения в сфере труда в данном случае?,"В данном случае, уровень социального партнерства, который может регулировать отношения в сфере труда, включает федеральный уровень, так как Мария работает в Российской Федерации.
""федеральном уровне, на котором устанавливаются основы регулирования отношений в сфере труда в Российской Федерации"" (Трудовой Кодекс РФ)."
"В компании ""Бета"" работники и их представители хотят принять участие в управлении организацией и принимать решения, связанные с трудовыми отношениями. Они обратились к юристу для получения совета и помощи в осуществлении своих прав.",Какое право предоставляет работникам и их представителям участие в управлении организацией?,"Работникам и их представителям предоставляется право на участие в управлении организацией. Это означает, что они имеют возможность принимать участие в принятии решений, связанных с трудовыми отношениями и улучшением условий работы.
Процитируем Трудовой Кодекс РФ: ""Участие работников, их представителей в управлении организацией"" (Трудовой Кодекс РФ, Статья 27)."
"Анна является государственным гражданским служащим и обращается к адвокату, так как ее работодатель не выплачивает ей зарплату вовремя. Она хочет узнать, какие права она имеет и какие меры могут быть предприняты.",Какие особенности применения норм настоящего раздела к государственным гражданским служащим?,"Особенности применения норм настоящего раздела к государственным гражданским служащим устанавливаются федеральными законами. ""[...] государственным гражданским служащим, муниципальным служащим, работникам военных и военизированных органов и организаций, органов внутренних дел..."" (Трудовой Кодекс РФ)."
"В организации ""Бета"" возник спор между работниками и работодателем относительно изменения коллективного договора. Работники хотят получить помощь юриста, чтобы представлять их интересы при разрешении коллективного трудового спора по поводу изменения коллективного договора.",Кто может представлять интересы работников при разрешении коллективных трудовых споров по поводу изменения коллективного договора?,"При разрешении коллективных трудовых споров по поводу изменения коллективного договора интересы работников могут представлять соответствующие профсоюзы, их территориальные организации, объединения профессиональных союзов и объединения территориальных организаций профессиональных союзов. ""[...] представляют соответствующие профсоюзы, их территориальные организации, объединения профессиональных союзов и объединения территориальных организаций профессиональных союзов"" (Трудовой Кодекс РФ)."
"В компании ""Бета"" есть работники, которые не являются членами профсоюза, но хотят, чтобы их интересы представляла первичная профсоюзная организация ""Прогресс"". Они хотят, чтобы органы профсоюза представляли их интересы во взаимоотношениях с работодателем по вопросам индивидуальных трудовых отношений и непосредственно связанных с ними отношений.","Могут ли работники, не являющиеся членами профсоюза, уполномочить первичную профсоюзную организацию представлять их интересы во взаимоотношениях с работодателем?","Работники, не являющиеся членами профсоюза, могут уполномочить орган первичной профсоюзной организации представлять их интересы во взаимоотношениях с работодателем по вопросам индивидуальных трудовых отношений и непосредственно связанных с ними отношений на условиях, установленных данной первичной профсоюзной организацией. ""[...] могут уполномочить орган первичной профсоюзной организации представлять их интересы во взаимоотношениях с работодателем по вопросам индивидуальных трудовых отношений и непосредственно связанных с ними отношений на условиях, установленных данной первичной профсоюзной организацией"" (Трудовой Кодекс РФ)."
"В компании ""Бета"" работает 200 человек. Две профсоюзные организации объединяют работников, но ни одна из них не уполномочена представлять интересы всех работников в социальном партнерстве на локальном уровне. Группа работников, состоящая из 50 человек, решила выбрать своего представителя для защиты своих интересов.","Могут ли работники компании ""Бета"" выбрать своего представителя для защиты своих интересов, если профсоюзные организации не уполномочены представлять интересы всех работников?","Да, на общем собрании (конференции) работников для осуществления указанных полномочий тайным голосованием может быть избран из числа работников иной представитель (представительный орган). Наличие иного представителя не может являться препятствием для осуществления первичными профсоюзными организациями своих полномочий. ""Иные представители работников"", Трудовой Кодекс РФ."
"В компании ""Бета"" произошел конфликт между работодателем и представителем работников, Сидоровым Александром Ивановичем. Сидоров обратился к адвокату с просьбой о помощи в разрешении конфликта. Он утверждает, что работодатель не соблюдает коллективный договор, в частности, не предоставляет ему необходимую информацию и не проводит консультации с представителями работников.",Какие документы обязывают работодателя соблюдать условия коллективного договора?,"Работодатель обязан соблюдать условия коллективного договора, который регулирует отношения между работодателем и работниками. ""[Работодатель] обязан создавать условия, обеспечивающие деятельность представителей работников, в соответствии с трудовым законодательством, коллективным договором, соглашениями"" (Трудовой Кодекс РФ, Статья 32)."
"Представительство работодателей в коллективных трудовых спорах
В компании ""СтройПроект"" возникла коллективная трудовая спора между работниками и работодателем относительно изменения условий труда. Работники обратились в суд, требуя защиты своих прав. Работодатель, в свою очередь, хочет представлять свои интересы в суде через соответствующее объединение работодателей. Возможно ли такое представительство и какие требования должно удовлетворять объединение работодателей?",Может ли работодатель представлять свои интересы в коллективных трудовых спорах через объединение работодателей?,"Да, работодатель может представлять свои интересы в коллективных трудовых спорах через соответствующее объединение работодателей. Если на уровне отрасли отсутствует социальное партнерство, работодатель может обратиться к общероссийскому, межрегиональному, региональному или территориальному объединению работодателей, при условии, что состав членов такого объединения отвечает требованиям, установленным федеральным законом для соответствующего отраслевого (межотраслевого) объединения работодателей. ""[В случае отсутствия на федеральном, межрегиональном, региональном или территориальном уровне социального партнерства отраслевого (межотраслевого) объединения работодателей его полномочия может осуществлять соответственно общероссийское, межрегиональное, региональное, территориальное объединение работодателей при условии, что состав членов такого объединения отвечает требованиям, установленным федеральным законом для соответствующего отраслевого (межотраслевого) объединения работодателей]"" (Трудовой Кодекс РФ, Статья 33)."
"Анна является представителем работодателя в организации, где возник коллективный трудовой спор. Она хочет узнать, какие полномочия у нее есть в решении данной ситуации.",Какие полномочия имеют представители работодателя при разрешении коллективных трудовых споров?,"Представители работодателя имеют полномочия по разрешению коллективных трудовых споров по поводу заключения или изменения соглашений. ""[...] при проведении коллективных переговоров, заключении или изменении соглашений, разрешении коллективных трудовых споров по поводу заключения или изменения соглашений, осуществлении контроля за выполнением соглашений, формировании комиссий по регулированию социально-трудовых отношений и осуществлении их деятельности также являются соответствующие федеральные органы исполнительной власти, органы исполнительной власти субъектов Российской Федерации, иные государственные органы, органы местного самоуправления"" (Трудовой Кодекс РФ)."
"Гражданин Иванов работает в международной компании ""Бета"" в Москве. Он обратился к юристу, так как считает, что его права нарушены работодателем. Иванов утверждает, что его компания не образовала трехстороннюю комиссию по регулированию социально-трудовых отношений, не проводит коллективные переговоры и не заключила коллективный договор.",Какие организации должны образовывать трехсторонние комиссии по регулированию социально-трудовых отношений?,"Трехсторонние комиссии по регулированию социально-трудовых отношений должны образовываться на федеральном уровне, в субъектах Российской Федерации, на территориальном уровне и на отраслевом (межотраслевом) уровне. ""[...] комиссии из наделенных необходимыми полномочиями представителей сторон"" (Статья 35, Трудовой Кодекс РФ)."
"В компании ""Бета"" произошел случай дискриминации по половому признаку. Сотрудница компании, Анна, заявляет, что ее повышение в должности было отклонено только из-за ее пола. Анна решает обратиться к адвокату для получения юридической помощи в защите своих прав.",Какие органы должны рассматривать решения комиссий по регулированию социально-трудовых отношений?,"Решения соответствующих комиссий по регулированию социально-трудовых отношений должны быть обязательно рассмотрены федеральными органами государственной власти, органами государственной власти субъектов Российской Федерации или органами местного самоуправления. ""[...] решения соответствующих комиссий по регулированию социально-трудовых отношений [...] подлежат обязательному рассмотрению федеральными органами государственной власти, органами государственной власти субъектов Российской Федерации или органами местного самоуправления, принимающими указанные акты"" (Трудовой Кодекс РФ)."
"Работодатель предприятия ""Бета"" получил предложение от представителей работников о начале коллективных переговоров, но не отвечает на него в течение семи календарных дней. Работники обратились к адвокату с вопросом о том, что им делать в данной ситуации.","Что делать, если работодатель не отвечает на предложение о начале коллективных переговоров в течение семи календарных дней?","Если представители стороны получили предложение в письменной форме о начале коллективных переговоров, они обязаны вступить в переговоры в течение семи календарных дней со дня получения предложения. Если работодатель не отвечает на предложение в указанный срок, работники могут обратиться в суд или другие компетентные органы для защиты своих прав. ""[Представители стороны], получившие предложение в письменной форме о начале коллективных переговоров, обязаны вступить в переговоры в течение семи календарных дней со дня получения указанного предложения..."" (Трудовой Кодекс РФ, Статья 36)"
"В компании ""Бета"" работает 300 сотрудников. Первичная профсоюзная организация, объединяющая 200 работников, решила направить работодателю предложение о начале коллективных переговоров от имени всех работников без предварительного создания единого представительного органа. Однако работодатель отказался вести переговоры с профсоюзной организацией, ссылаясь на то, что не был создан единый представительный орган.",Может ли первичная профсоюзная организация направить работодателю предложение о начале коллективных переговоров от имени всех работников без предварительного создания единого представительного органа?,"Да, первичная профсоюзная организация, объединяющая более половины работников организации, имеет право направить работодателю предложение о начале коллективных переговоров от имени всех работников без предварительного создания единого представительного органа. Согласно статье 37 Трудового Кодекса РФ: ""Первичная профсоюзная организация, объединяющая более половины работников организации, имеет право по решению своего выборного органа направить работодателю (его представителю) предложение о начале коллективных переговоров от имени всех работников без предварительного создания единого представительного органа"" ([place quote here] (Трудовой Кодекс РФ))."
"В компании ""Бета"" работники и администрация провели коллективные переговоры для заключения нового коллективного договора. Однако, не удалось достичь согласия по вопросу о размере оплаты труда. Работники хотят обратиться к юристу за помощью в урегулировании этого разногласия.","Каким образом можно урегулировать разногласия, возникшие в ходе коллективных переговоров по заключению коллективного договора?","Урегулирование разногласий, возникших в ходе коллективных переговоров по заключению коллективного договора, производится в порядке, установленном Трудовым Кодексом РФ. Согласно статье 38, если в ходе коллективных переговоров не принято согласованное решение по отдельным вопросам, то составляется протокол разногласий. Дальнейшие действия по урегулированию разногласий должны быть согласованы согласно законодательству.
Пример цитаты из документа: ""Если в ходе коллективных переговоров не принято согласованное решение по всем или отдельным вопросам, то составляется протокол разногласий."" (Трудовой Кодекс РФ)"
"Работник ""Б"" является представителем работников и участвует в коллективных переговорах. Он беспокоится о возможности быть уволенным или переведенным на другую работу без его согласия.",Может ли представитель работников быть уволен или переведен на другую работу без его согласия во время коллективных переговоров?,"Представители работников, участвующие в коллективных переговорах, в период их ведения не могут быть без предварительного согласия органа, уполномочившего их на представительство, подвергнуты дисциплинарному взысканию, переведены на другую работу или уволены по инициативе работодателя, за исключением случаев расторжения трудового договора за совершение проступка. ""Представители работников, участвующие в коллективных переговорах, в период их ведения не могут быть без предварительного согласия органа, уполномочившего их на представительство, подвергнуты дисциплинарному взысканию, переведены на другую работу или уволены по инициативе работодателя, за исключением случаев расторжения трудового договора за совершение проступка, за который в соответствии с настоящим Кодексом, иными федеральными законами предусмотрено увольнение с работы"" (Трудовой Кодекс РФ)."
"В филиале компании ""Бета"" работники обратились к адвокату с просьбой о помощи в изменении коллективного договора. Они считают, что некоторые положения договора устарели и не отражают текущую ситуацию в организации. Работники хотят узнать, какие процедуры необходимо выполнить для изменения коллективного договора.",Какие процедуры необходимо выполнить для изменения коллективного договора в филиале организации?,"Для изменения коллективного договора в филиале, работодатель должен наделить руководителя этого подразделения или другое лицо необходимыми полномочиями в соответствии с Трудовым Кодексом РФ. При этом представителем работников наделяется представитель работников этого подразделения, определяемый в соответствии с правилами, предусмотренными для ведения коллективных переговоров в организации в целом. ""Для проведения коллективных переговоров по подготовке, заключению или изменению коллективного договора в филиале, представительстве или ином обособленном структурном подразделении организации работодатель наделяет необходимыми полномочиями руководителя этого подразделения или иное лицо в соответствии с частью первой статьи 33 настоящего Кодекса"" (Статья 40 Трудового Кодекса РФ)."
"В компании ""Бета"" работница Петрова обратилась к адвокату с просьбой о помощи в улучшении условий и охраны труда. Она утверждает, что в ее рабочем месте не соблюдаются нормы безопасности и охраны здоровья, установленные коллективным договором. Петрова хочет узнать, какие права у нее есть в этой ситуации.","Какие права имеет работник, если не соблюдаются нормы безопасности и охраны труда, установленные коллективным договором?","Работник имеет право на улучшение условий и охраны труда в соответствии с коллективным договором. Если нормы безопасности и охраны здоровья не соблюдаются, работник может обратиться к администрации компании или представителям работников для решения проблемы. В случае невыполнения коллективного договора, работник может обратиться в суд для защиты своих прав. Согласно Трудовому Кодексу РФ, статья 41, коллективный договор обеспечивает улучшение условий и охраны труда работников: ""улучшение условий и охраны труда работников, в том числе женщин и молодежи"" (Трудовой Кодекс РФ)."
Работодатель Ольга руководит небольшой компанией и хочет заключить коллективный договор с работниками. Она обратилась к юристу с вопросом о процедуре разработки проекта коллективного договора и его заключения.,Какова процедура разработки проекта коллективного договора и его заключения?,"Процедура разработки проекта коллективного договора и его заключения определяется сторонами в соответствии с Трудовым Кодексом РФ и иными федеральными законами. ""[place quote here]"" (Статья 42, Трудовой Кодекс РФ)"
"В филиале компании ""Бета"" был заключен коллективный договор, который распространяется на всех работников филиала. Однако, после реорганизации филиала в форме присоединения к другой организации, работники хотят узнать, сохраняет ли коллективный договор свое действие.",Сохраняет ли коллективный договор свое действие после реорганизации филиала в форме присоединения к другой организации?,"Да, коллективный договор сохраняет свое действие в течение всего срока реорганизации.
Подтверждение: ""При реорганизации организации в форме слияния, присоединения, разделения, выделения коллективный договор сохраняет свое действие в течение всего срока реорганизации."" (Трудовой Кодекс РФ)"
